id,text
37491,"The text in the image reads:  ""i've been here once they stole my stuff and claimed god gave it to them"""
37498,The text in the image is:  - cocaine - evilheart - so much cocaine - i fucking - told you!
37502,starts nazi party... and wages war on other cultures
37504,we are returning our broken coffee maker
37508,trust me as you get to know me  i just get weirder
37509,when you're burning jews but the guard falls asleep  don't let the flame die out!
37542,i'm a gnigger  and you've been robbed
37546,"dad, i've had too much to drink again"
37548,i got some down bitches i can call
37560,will someone call chuck norris and tell him to please come and get his cat?
37569,excuse me?!? it is ma'am!  ma'am! i will take you outside and show you a sir!
37580,"let's gather everyone for family photo, where are my daughters?"
37592,"what do you mean ""your chair""  i don't see you sitting in it"
37601,my favorite sex position is the challenger  i go hard for 73 seconds then prematurley blow
37609,the military finally captured the massive orangutan
37610,the new space saving dishwasher  you can hang it anywhere!
37615,I thought of something funnier than 9/11  the holocaust
37619,when all your peaceful solutions fail  you know what old problems require old solutions
37620,do i have something in my teeth?
37621,what do you mean happy columbus day?
37628,when your uber driver arrives but you're probably safer driving drunk
37629,the perfect game doesn't exis......
37641,when they asks why you dropped the muslim kid off from school  to give the parents back their bomb
37642,seriously mate.. what's the fuckin point?
37649,when you fall face first in the mud
37658,when your dishwasher is broken  so you take it back to walmart to get a new one
37681,"benjamin mileikowski your homeland is poland it is not in palestine!  did you know that more than half of israel population is comprised of people who are of ""polish and ""russian"" descent?"
37692,"""islam is a religion of peace  stop criticizing my religion"""
37802,"""look dude a second hand store!!"" THRIFT STORE"
37806,"remember folks  please help control the violent, whitetrash, idiot population; have your trump supporters spayed or neutered"
37809,now that's what i call koality
37814,this is el paso shooter's father  every. single. time
37815,so i bent him over like this and i made sure he felt the lord inside him
37819,big and beautiful
37825,stop confusing  illegal aliens  with immigrants
37829,if you're proud to be white then this is the radio station for you
37845,having a disability is only playing life in hard mode.
37859,tired of bitches running from the dick? i give you the clamp that bitch down 3000
37860,so glad i grew up doing this  not this
37862,her: you must be retarded if you think we fucking me:
37864,best holiday gift for muslims
37865,i'm not saying that your perfume is too strong.  all i'm saying is that the canary was alive before you got here
37895,did you know your dishwasher is also capable of washing your motorcycle?
37901,"The text in the image reads:  ""put'n the ""ham"" in mohamed"""
37902,i may be blind but at least i'm not black
37904,"jesus is love, and he welcomes all homosexuals into heav.. don't be deceived! homosexuals will not inherit the kingdom of god!"
37915,"The text in the image says:  ""when you type fidget spinner but it autocorrects to midget spinner"""
37918,how i feel when i pick germany in a world war 2 game
37921,when you're the only girl at the gang bang
37924,49 people were killed at christ church  49 people were killed at christ church mosques muslim muslim
37928,"The text in the image reads:  ""this is a snakes mouth it looks like a vagina"""
37945,when she asks you to send a dick pic  and your dick is in her mom's mouth
37948,I sincerely apologize for my comments that offended those dirty jews
37951,this is a bane on our society report it when you see it
37965,not all of us are terrorists but all terrorists are one of us
37980,you can be any gender you want if you are mentally ill
37984,aight girls make it look natural
38019,these cute head tilts
38029,loading the dishwasher in the back solid move
38041,justin trudeau  the imam of canada
38045,i am not racist some of my best slaves are black
38046,"to see better, aisians sometime switch to fullscreen veiw"
38047,"""stupid bitch"" is not a race"
38051,when you slap your dishwasher too hard
38054,"The text in the image says:  ""it's time we make peace with islam"""
38057,sea monkeys
38069,The text in the image is:  - morgan freeman - morgan not-so-freeman
38071,don't ever think you got away with the rat shit you said  or the snake shit you did because i have a good memory and alot of patience
38072,your race card is declined
38076,"""he's a squirter"" doesn't sound as sexy when you are gay"
38094,chevy guys be like we just got done muddin'  ford guys be like we just got done muddin
38095,haters will say it's photoshop
38105,soon i'll be nothing but a horrible memory!!!!
38109,turn down for what
38127,how the co looks when he tells the crew were not getting mail on the next ras
38129,"jewish man hears a knock on his door, presumably an ss officer, as he was preparing to flee his home, 1942 ( (colorized)"
38145,stop being a little bitch
38147,hitler posing to a recording of one of his speeches
38154,sooo gorillas really are humans
38156,"we used to have safe neighborhoods now we have ""diversity"""
38157,brace yourselves  420 is coming
38159,rare picture of a dishwasher at birth
38162,"when your teenager  ""cleans his room"
38164,when you max out intelligence and put nothing on agility
38170,symbrachydactyly is when you're born with abmnormal limbs
38179,"The text in the image is:  ""I fucking hate dog shagging islamist cunts"""
38190,i forgot to put it out on time now it is sitting there for whole day
38196,communication is important in a relationship
38201,your birthday's good... but it needs more cowbell
38209,when instincts take over
38210,"my wife asked me if i thought her friend was pretty...  apparently, ""i'd lick her her asshole"" is the wrong answer!"
38215,they're not really after me they're after you i'm just in their way
38217,this bacon is so raw  it's about to start singing hakuna matata
38245,when you eat your rehab romance booty in the laundry room but she's day 3 sick
38246,Islamic extremists try to exterminate Judaism for centuries and no one bats an eye  Hitler tries to do it once and everyone loses their minds
38251,"i don't always speak my mind, but when i do, i sound like a damn idiot"
38259,when the mexican lady at taco bell messes up your order
38271,non-binary genders are real there are more than 2 genders. no...just no!!!
38401,"the islamic sacred book, believed to be the word of god as dictated to muhammad"
38402,running away from racism like:
38409,starving mexican man eating peanuts
38410,"""me: want some ribs? chinese person: no me: want some ribs made from house pets? chinese person: """
38416,when your dick game is weak but your finger game is out of this world
38417,The text in the image is:  ``` this is nahir nahir is born in germany nahir is german  this is fluffy fluffy is born in horse stable fluffy is a horse ```
38419,when i grow up. lol nevermind
38427,when you see another black person getting their ass whipped by the cops stop breaking the law
38460,i told them to get chick fil a. but it was sunday
38461,"dad is islam a religion of peace?  hell no son, only liberals believe that shit"
38465,"yo dawg, i heard you like memes  so i made a meme mocking memes you so you can can mock me knocking memes while reading mock memes"
38469,i ain't got time for this. i'm too grown.
38475,"i don't always feel like i'm at the top of the gene pool  but when i do, i'm at walmart"
38490,"""people are tired of the same, old ideas""  ""people are tired of the same, old ideas"" says the 74 year old socialist"
38491,politicians before elections  politicians after elections
38495,"The text in the image reads:  ""it didn't happen because of the actions of one man it happened because of people who were 'just doing their jobs'"""
38496,romanians when they see a slightly  open purse/pocket/window
38509,1947 something went... 2017... terribly right
38514,muslims in 2001 defund homeland security!  muslims in congress 2019
38516,the first president they can't control  ....and they don't like it!
38527,the best way to get chewing gum out of your hair
38529,"fuck you, asshole how's that for customer service?"
38546,The text in the image is:  - jew mad? - fuhrererious
38547,i only wear silk panties cotton ones remind me of slavery
38549,"The text in the image says:  ""all living things are one"""
38574,don't be limited by your circumstances you can achieve anything!
38590,new zealand edition  call of duty
38609,"stop smoking  that isn't cigarette ash, that's what happens to your lungs"
38612,so there is this new implant  that can actually fix stupid
38621,"i am not racist  i had a black dog once, we named him foodstamps"
38624,The text in the image is:  - not my president - not my residents
38625,"a german ss soldier punishing a small jewish boy by sticking a sharpened spear in the boys anus, auschwitz concentration camp, poland 1944. (colorized"
38629,"The text in the image reads:  ""a good heart goes a long way"""
38641,yo dawg i heard you liked  chinese food  so we killed your cat
38647,"The text in the image is:  - ""my name is jafar"" - ""i come from afar"" - ""there's a bomb in my car"" - ""allahu akbar"""
38654,how to make america great again
38674,blacks are musical they always love a good beat
38697,"if a muslim beats his wife, is it domestic violence, or child abuse?"
38701,"knock, knock who's there  not this bitch ( obviously )"
38702,did we just become best friends? yep!  wanna trade fucked up memes? yep!
38704,The text in the image is:  chicken niggers
38706,it's super rare to find a kitchen that has four ovens and three dishwashers
38712,be careful  autistic child area
38714,on a scalefrom 1 to 10  how much do you like kissing
38720,that one person in their feelings  in the comments
38724,border agents in texas apprehend over 400 illegals in just a 5-minute span this is an invasion! why are some republicans trying to keep our borders open??
38741,meanwhile in mexican schools
38742,"everywhere: eats africa: ""we don't do that here"""
38752,"Here's to you Obama, your transgender agenda helped me fish out all the mentally ill on my friends list"
38754,'slavery reparations' has there ever been a more blatant attempt to buy the 'black' vote?
38756,when you lose your first boxing match
38761,moslems kill hundreds of innocents on a weekly basis and no one bats an eye  one aussie goes sick and everyone loses their fucking minds
38764,there's only one race the human race  and that thing on the right? that's a monkey in human clothes
38765,wtf is with this guide dog? i keep ending up at kfc
38790,rabbits jump and they live for 8 years dogs walk and they live for 15 years. turtles do nothing and they live for 150 years.  lesson learned.
38910,oh boy i sure love being muslim  in the new zealand city of christchurch  on march 15
38912,this chick can't stand fishing
38914,cotton candy is what makes the theme park wonderful
38927,"honor killings are part of our culture  well then, it will be my honor to kill you all"
38942,my husband does everything i ask but i have to ask
38954,It's gettin hot in here so take off all ur clothes
38956,look at what i just built  with all the sand that fell out of your vagina
38961,trump's transgender military ban is the best thing ever  share if you agree
38962,a muslim in congress wants to get rid of homeland security let that sink in!  18 years after 9/11 and this is where we are at?
38965,documentary on the kkk premiers wednesday on fox
38976,show intolerance for other's religions  expect highest level of tolerance for their own
39012,"The text in the image reads:  ""i threw my new muslim neighbors a house-warming party the police called it arson...whatever"""
39018,"she said ""i want a ring""  i said ""bitch take your phone off silent!"""
39028,"The text in the image reads:  ""I am a gamer not because I don't have a life but because I hate women and minorities"""
39041,so you follow politics and think  only the other party tells lies
39051,your rights end where my feelings begin
39054,why is it so good? because it's white
39056,"teacher: who can tell me what are the best flammable materials? jewish kid: me me me teacher: ok, what else"
39058,i like my niggers like i like my christmas ornaments  hanging from my tree
39061,"The text in the image reads:  ""farming simulator 19 classic equipment dlc"""
39067,"so, you think by being a muslim sympathizer, this will somehow keep us from killing you? you are a special kind of stupid"
39076,playing with the monkeys in thailand
39085,"The text in the image is:  ""fuck off muslims! a looney allah production"""
39102,we could destroy all of them but we let some of them survive so you know why we did it
39106,the old ice cream on the face gag
39107,when you're shy everytime your friend takes selfies
39120,The text in the image is:  - hey muslims - eat me!
39127,when your dick game is weak but your finger game is out of this world
39145,when you find out there's an opening for the role of chewbacca
39148,guys i think my dog has autism lmao
39156,i asked him to see things from my point of view  he looked out the kitchen window
39158,people always working
39164,"beheaded, shot and stoned to death: 369 trans people killed this year  you gotta pump those numbers up. those are rookie numbers"
39168,"The text in the image says:  ""tfw your friend says that kirk is better than picard"""
39170,meanwhile at the isis strip club
39175,when your dad passes the family school shooting gun down to you
39182,there use to be a shelter here
39185,"next time you're having a bad day, think of this squirrel"
39201,"enough with the nazi jokes, they're making me fuherious."
39206,great financial news for me this morning. no longer have to send $16 a month to that african kid
39214,what's the best thing about a blowjob?  the 10 minutes of silence!
39241,i don't always masturbate on my own  but when i do i like to slap away my hand and play hard to get
39247,you know that we are better than any other race
39250,i just squirted tranny fluid
39256,"this isn't the way, there's always a better way"
39265,unfortunately... these guys still exist
39280,"his legacy, destroyer of the greatest nation on earth  his weapons of mass destruction seated now in congress,  socialism and sharia law a deadly combination to any society."
39281,"newly elected muslim u.s. rep. rashida tlaib  ""because we're gonna go in there and we're gonna impeach the mother***er. """""
39285,i'm trying to put a load in the dishwasher  him: me too!
39287,king's landing  so hot right now
39401,one little phone call and all charges are dropped
39405,"you call that a killing, ahmed? this is a killing!"
39408,"""you are allowed to drive?"" no, i took a magic carpet ride here"
39416,are u a wizard?
39420,"getting stoned in america can be expensive  in islamic country, say you're gay and get stoned for free [dark humour] so progressive"
39421,him: gonna beat dat pussy into mashed potatoes!  her: im down!
39425,when dad keeps banging the goat instead of you
39427,"The text in the image is:  ""don't settle for just any bargain brand white trash ask for tomi lahren by name now with 50% more maga"""
39452,then he said i couldn't come to the barbecue  because i always burn the franks
39465,i didn't do it
39470,"patriarchy: while the men had fun dying...  the females were oppressed.. ..inside ""comfortable concentration camps"" called homes."
39472,I'm not an islamophobe I just can't stand the cunts
39475,made rice krispies way before kellogg's
39478,when both ya girl and ya side piece cycle come on...  y'all hoes friends now?
39482,you're so old  this was your first school book
39504,this dude wants to use the same restroom as your daughter  liberals call you a bigot if you object
39524,offended you are? a shit i don't give.
39526,when you're still fucked from last night's bender and sunglasses aren't gonna cut it
39527,true organic love
39528,dishwasher: *not working* me: *hits it too get it too work* everyone else at my wife's funeral:
39540,four good reasons  to re-elect trump
39541,in my country i am forced to keep my mouth shut. here i'm free to talk trash about this country in hopes it changes into a country where i'm forced to keep my mouth shut.
39542,what does blm stand for? black lives matter
39547,"how sad your life must be to put all of your hopes and dreams into this ""man."""
39560,"""If you see anybody from Trump's cabinet in a restaurant, in a department store, at a gasoline station... you create a crowd and push back and tell them they're not welcome anywhere""  Maxine Waters June 24, 2018"
39562,"The text in the image is:  - ""damn video"" - ""games"""
39564,"him: have you seen my cat lately? her: nope, have you seen your dad lately?"
39576,that makes me moister than an oyster
39578,one of the bullets they dug out of a victim from the orland gay night club shooting!
39580,please stop calling your ancestors slaves.  they were honorable nobles held as prisoners of war and those psychopathic criminals weren't masters.
39601,welcome refugees  to poland's newest 5 star hotel
39607,those stupid basterds thought it was a real shower
39612,india vs bangladesh  how bangladeshi's see  how indian's see
39624,first gay pride parade! can't wait! making history
39625,we said we would never forget why are you voting them into our government?
39640,michael  you can afford it
39645,remember when a lost alien just wanted to just go home?  what was that movie called?
39652,donald trump  proving you don't have to be poor to be trailer trash
39658,"hey trump, since they don't want a wall let's build a 24/7 firing range and mine field"
39675,"The text in the image is:  - ""white people"" - ""is this a shooting range?"""
39704,you ugly & playing hard to get  yo ass is already hard to want
39706,that face you make when he uses the wrong hole
39725,if you hold it up to your ear you can hear police sirens
39726,excuse me....  i think you're doing it wrong
39741,antique farm equipment
39748,"The text in the image reads:  ""immigrants wave our flag invaders wave their own"""
39765,you can wear whatever you choose  no one should judge you
39784,that face she makes when ahmed hits the g-spot
39785,how long can i run? till the chain tightens
39805,look both ways b you cross the street
39815,they violated human rights
39816,The text in the image is:  genuine dumbass mexican
39817,psst i got a secret to tell you
39821,even i can see duke sucks
39826,looking forward to a night out
39827,kick them out of country
39842,i just squirteded  tranny fluid
39852,"The text in the image reads:  ""3 jewish prisoners after being liberated by the USSR auschwitz 1945 colorized"""
39854,i married my brother to commit immigration fraud
39860,"i said ""a glass of juice"""
39861,the pose with the squad no matter where ya at
39862,protestorssshould step their game up  and start blocking railroad crossings
39867,stop illegal immigrants  they're taking the land we stole
39870,"The text in the image reads:  ""When Muslim parents use the 'open wide, here comes the airplane' technique do they just smash it in the baby's face and make explosion noises?"""
40125,here's to the mothers who raised normal kids  and to the select few who raised us awesome fuckers
40127,the original derp face
40136,new zealand edition call of duty
40137,muslims moved in...  but they're not moving out..
40153,"""okay class bring out your calculators"" mohammed:"
40158,"crisis hotline, how can I help?  well...I'm feeling suicidal...  ok, so what's the crisis?"
40159,"are my sins forgiven now, father"
40167,"mental illness... can lead to anxiety, depression, and in some cases self-mutilation and/or suicide"
40182,child protective services takes away children from parents who don't vaccinate  but they're perfectly fine with them
40193,flowers for martin luther king day
40216,racing for pink slips in africa
40217,"2 years on the job...  4 million jobs gained  1 month on the job...  25,000 jobs lost  amazon"
40218,some habits are hard to stop
40239,now that the russia collusion myth is over  are you ready for the counter punch?
40256,book of satan written by psychopaths
40257,"The text in the image is:  - ""Igbt virus"" - ""[gay zombie noises]"""
40259,The text in the image reads:  masturbation it's not just for men
40265,"excuse me, do you have a moment to talk about racism?"
40268,living proof that you can shoot a liberal in the head and not hit anything vital.
40269,what's really crazy is it is illegal for minors to drink but not for minors to be taking hormones and having surgery to change their appearance to the opposite gender.  and nobody cares that gender reassignment is being paid for with their tax money and insurance premiums.
40286,when each letter is a mental disorder HELP
40291,"so i was going down on my grandma the other night, and i tasted horse semen  i stopped for a second and thought to myself:is this how she died"
40293,"i don't see ""color"" or ""race"" because i make sure to surround myself only with white people"
40297,i got new shoes brother died from ebola
