id,detected_objects,Dominant Emotion,Dominant Race,gender,age,age_group,text
1734,vase,,,,,,"and that was the last time we let uncle larry babysit  Little Jack Telf Was put on the shelf Because he would not spell When his aunt Grace [pie] Saw his sorrowful face, She gave him a pie."
1736,"person, person, person, person, person, person, person",,,,,,korean war soldiers come home msnbc no live coverage nbc no coverage cnn 58 seconds abc 24 seconds share if they should be ashamed
1742,"person, tie, tv",neutral,asian,man,27,25-34 years,in just one hour from now  i'll only have 4 hours left until i have to work a mere 3 hours
1743,person,happy,white,man,29,25-34 years,sen mitt romney wall declaration  let's make this his last to  utah  voted against trumps emergency
1746,person,,,,,,everyone told me you gonna be a blessing
1749,"person, person, tie, person, person, person, person, person, person, person, person, person",happy,white,man,28,25-34 years,so then we told them  cannabis is dangerous and pharmaceuticals are good for you
1756,person,,,,,,she is a fast runner
1763,toothbrush,,,,,,want a spin?
1765,person,sad,black,man,30,25-34 years,"after a girl dies, what organ in her body stays warm? my dick"
1793,person,,,,,,don't mind me i'm only watering my muslims
1794,person,neutral,white,man,28,25-34 years,i beat children
1796,"person, person, tie",happy,middle eastern,woman,37,35-44 years,life hack #23  how to get stoned with no weed
1823,person,neutral,asian,man,44,35-44 years,i too was once a male trapped in a female's body  but then i was born
1827,"bird, horse, horse, person",,,,,,if your man is offended by this then he's never been hunting
1829,person,surprise,white,man,29,25-34 years,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables
1835,person,happy,white,man,28,25-34 years,that makes my lady junk tingle
1836,"tie, person",fear,white,man,35,35-44 years,can you hear me at the back?
1842,"dog, dog",,,,,,it's a wiener pit kinda like your mouth
1845,person,,,,,,when you consume too much  trans fat
1854,"person, person, person, horse",,,,,,when an indian goes for walk with his dog
1865,person,happy,white,woman,31,25-34 years,I'm this pretty because both my parents are white
1875,"person, bench, person, person, handbag, handbag, backpack, backpack",,,,,,does anyone know if he had a donor card?  i need parts for my go-cart
1892,person,neutral,black,man,41,35-44 years,i did not divide the country  the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country
1894,person,,,,,,we haven't t seen any new jesus appearances on pancakes in a while  i hope he's okay.
1896,person,fear,middle eastern,man,42,35-44 years,terrorism is just part and parcel of living in a big city. sadiq khan london mayor  tokyo: over 13 million people no islamic terrorism
1924,"person, person, person, person, person, person, frisbee, person, bed, backpack",sad,white,man,34,25-34 years,"The text in the image reads:  - ""whats the difference between a feminist and a suicide vest?"" - ""a suicide vest actually accomplishes something when its triggered"""
1925,"person, cup, vase, dining table, book, tv",,,,,,i am not racist i just don't like brown sugar
1936,,,,,,,we said we would never forget why are you voting them into our governement?
1937,"person, person, person, person",happy,middle eastern,woman,27,25-34 years,"when you find a shooter the same day you plan a bombing, so you team up"
1943,"person, person",,,,,,person i chase: *shows clear signs he doesn't want to do anything with me*  me: i'm gonna pretend i didn't see that
1953,"person, person, person, handbag, person, tv, person, person, person, person, elephant, person, person, person, person, person",,,,,,"The text in the image reads:  ""muslim + hunt = less muslims"""
1954,"car, person, car",,,,,,the best part about a prostitute dying on you is you get the second hour free
1956,"sports ball, dog",,,,,,i am a crocodile!
1962,person,,,,,,i put makeup for my profile photo
1967,"person, person, person, person, person, person",sad,black,man,31,25-34 years,when you decide to stop racism by burning its symbol
1972,cat,,,,,,you don't have a cat? this is your lucky day! i'm moving in!
1974,person,sad,latino hispanic,man,29,25-34 years,The text in the image is:  - hiroshima - hiroshima - nagasaki - everybody needs a friend
1975,"horse, person, horse",neutral,asian,man,24,18-24 years,valentine in islamic countries
2139,person,,,,,,no less beautiful
2143,person,neutral,middle eastern,man,42,35-44 years,"doesn't have food, water, electricity proud of nuclear weapons"
2145,"chair, chair, dining table, bowl, cup, cup, cup, bottle, bottle, sports ball, cup",,,,,,"and then I asked mom, what's for dinner?"
2146,"bird, bird, bird, bird",,,,,,from the bottom of my heart i would like to sincerely apologize.....  for being white
2153,teddy bear,,,,,,when you're arguing with someone  Kermit the Frog  HOLLYWOOD WALK OF FAME Presented To Kermit The Frog on the occasion of the placement Hollywood Walk of Fame November 11 Hollywood Chamber  and trying notto hit them
2156,person,,,,,,never forget
2157,,,,,,,"mohammed  i'm pregnant....  don't sass me, you know it's funny! ~cupcakes"
2158,bird,,,,,,i like my women like i like my chickens held in captivity until i behead them
2165,"person, person",,,,,,The difference between moderate Muslim and radical Muslim  follow my allah or i kill you!  follow my allah or he kill
2168,person,sad,white,man,30,25-34 years,how many fucking accounts do you assholes have?
2169,person,,,,,,"to see better, asi ans sometimes switch to fullscreen view"
2185,person,,,,,,wceeeeee! back over the border you go!
2194,"person, person, person, person, person, person, person, person, person, person, handbag, person, sheep",,,,,,when you're a good farmer who raises healthy animals
2315,"tie, person, person",sad,white,man,35,35-44 years,don't forget me!!!!!! i'm an asshole too!!!
2316,person,happy,black,man,45,45-54 years,they can kill the messenger but they can't kill the message
2317,person,sad,white,man,31,25-34 years,white trash go to hell trump fuck donald trump
2351,,,,,,,when karen helps u camouflage the crackhouse  autistic child area
2356,"person, person, person, person, baseball glove",,,,,,if i was arrested what do u think i got arrested 4?
2358,person,happy,white,woman,31,25-34 years,The text in the image reads:  - diary of a - wimpy kid - hard luck - anne frank is one wimpy kid
2364,"person, book",,,,,,"a jewih shop owner, wears a kippah or yarmulke whilst in his shop in tehran"
2365,person,,,,,,"quick, which one is a bb gun?  oops, too late... you're dead"
2367,"person, person, person, person, traffic light, horse, traffic light, person, truck, cow, cow, person, person, person, cow, person, traffic light, traffic light, horse, traffic light, cow, traffic light, traffic light, person, cow, traffic light, traffic light",,,,,,dodge owners be like don't take a picture
2371,"person, cell phone, person",,,,,,why do all the mexican foos who work at t-mobile look like this  Imaooo
2374,"tie, person, cup",neutral,black,man,32,25-34 years,"i don't always fuck midgets but when i do, i go balls deep"
2381,person,,,,,,"got braces  friend told me ""you're so black, even your teeth are behind bars"""
2384,"car, person, person, handbag, person, person, person, car, motorcycle",,,,,,caitlin jenner showinging off her new whip
2385,"person, motorcycle, person, person, person, person, person, car, motorcycle, motorcycle, car, person, person, bicycle, car, car, motorcycle, horse, person, motorcycle, car, motorcycle",neutral,black,man,33,25-34 years,every life is precious
2389,"person, person, person",,,,,,democrat jan schakowsky defends ilhan omar:'she comes from a different culture'  where they want to kill all the jews
2413,person,neutral,white,woman,28,25-34 years,"The text in the image reads:  ""women ask for equal rights, and this is why"""
2416,"person, person, person, handbag, tie",happy,middle eastern,man,26,25-34 years,how do you piss off a female archeologist?  give her a used tampon and ask her what period it comes from.
2431,"person, potted plant, cell phone, person, oven, knife, orange, banana, cup",,,,,,subway is similar to prostitution  you pay someone else to do your wife's job
2435,"person, bench, person",,,,,,when you type  fidget spinner but it autocorrects  to midget spinner.
2439,"car, car, car, car, person, motorcycle, bicycle, train",fear,white,man,22,18-24 years,"superman's flying class was popular, but no one ever passed"
2456,"person, person",,,,,,"people are loosing their minds over terrorism and isis in america...  and veterans are all like... ""wake me up when i can go fuck shit up and not go to jail for it"""
2457,"person, person, person, person, person, person, person, person, person, person",,,,,,i hate when i see a black out in my neighborhood but i still offer my neighbors a candle
2459,"person, bottle, fire hydrant, bottle, bottle, bowl",,,,,,"my dishwasher is acting strange, can anybody help?"
2461,"person, tie",happy,white,man,33,25-34 years,"whenever you feel stupid, remember this"
2467,chair,,,,,,how much did the holo cost
2471,"person, chair, chair, chair, banana, chair, dog, chair, chair, chair",,,,,,when you walk into the welfare office  hello monkeys
2475,"dog, person, chair, person, chair, person, person, person, cell phone, handbag",,,,,,therapy dogs are now being trained to console rape victims of muslims
2476,person,,,,,,"The text in the image says:  ""im never doing a garden again!"""
2478,"person, tie, person",,,,,,must.. resist... urge to.. kill whitey..
2481,dog,,,,,,"The text in the image is:  - ""greetings tranny"" - ""time to die"""
2483,boat,,,,,,group of people rescued from medditaranian sea by italian coast guard
2485,"person, person",sad,white,man,33,25-34 years,real friendship is sending them a link to something terrible so you can both be traumatised at the same time  i torture all my friends. it's how i show love.
2497,person,,,,,,you're a wizard motherfucker
2514,"chair, potted plant, chair, microwave, chair, couch, oven, microwave, chair, dining table, vase, potted plant, chair, dining table, cup",angry,white,man,37,35-44 years,"if they're in a relationship, who makes the sandwiches?"
2518,"person, dog",,,,,,when the dog bites you and you bite back to assert dominance
2519,person,neutral,asian,man,39,35-44 years,It's funny because he's fat!
2536,"car, bench, potted plant, person",,,,,,don't drink and drive
2537,"person, person, person, person, tie, person, person, person, boat, person, person, person, person, person, person",,,,,,arrest george soros  for crimes against  erope
2538,"bird, bird",,,,,,when my girl pissed me off but she runs through the room in her draws  me my dick
2543,"person, person",neutral,asian,woman,30,25-34 years,catch me outside how bout dat  i'll catch my damn self outside
2548,bird,,,,,,oi  are you looking at me?
2561,person,neutral,asian,man,24,18-24 years,"we are coming to america one way or another! we will rape, pillage, riot & reap havoc on your nation while stealing your welfare"
2568,person,,,,,,whatsthe difference between heroin and i? cops think twice before shooting heroin
2571,"person, person, person",happy,black,woman,34,25-34 years,former first lady during an interview
2576,bird,,,,,,this is a snakes mouth it all makes fucking sense now
2581,"person, cell phone",sad,white,woman,27,25-34 years,mussie guy tried to rape me he didn't make it to court
2584,bench,,,,,,imagine being so disgusting there have to be laws to try to stop normal people from hating you
2594,"sheep, laptop, cow",,,,,,"The text in the image is:  - ""jamal!"" - ""im pregnant!!!""  These texts are displayed in different fonts and colors."
2613,"person, couch, person",,,,,,The text in the image says:  - after group sex - mohammed is very tired
2614,"person, person, person, cell phone, person",,,,,,black boyfriend white boyfriend
2631,person,angry,white,man,28,25-34 years,when your grandma sees you for the first time in a whole week  he's so fucking big.  me#irl
2634,person,,,,,,and just like that... this sandwich maker doubles as an ironing board
2647,"person, tie, person, person, person, person, person, tie, person",,,,,,notice how the kenyan skidmark  has been silent about the mueller report?
2649,person,,,,,,and that was the last nativity play my son was invited to take part in
2653,"boat, clock, clock",,,,,,england  where moslems can rape your children and reporting it is a crime
2654,person,,,,,,when people are spreading rumors but you're unbothereded
2657,"person, person, tennis racket, person",,,,,,oh look someone's returninging a broken sandwich maker to walmart
2674,"person, car, chair, skateboard, motorcycle, car",happy,asian,man,26,25-34 years,"The text in the image is:  - ""asian drivers test"" - ""went as expected"""
2687,,,,,,,i hang a sock on my doorknob so my roommate knows not to come in because i'm busy fucking the other sock
2691,person,neutral,indian,man,24,18-24 years,teaching them how to hunt young
2716,person,,,,,,"felt cute might pray later, idk"
2718,"person, cell phone",,,,,,my kid threatened to hold his breath until I gave him dessert. He's now passed out on the kitchen floor  I don't negotiate with terrorists
2719,bear,,,,,,your black neighbor  after you called the cops
2735,keyboard,,,,,,when each letter is a mental disorder
2751,,,,,,,just admit it white america was better
2761,person,,,,,,i'm sorry  i didn't mean to hurt your feelings
2763,"person, person, person, person, person, person, person, person, person, person, backpack, person, person, backpack, backpack, person, person, person, person, person, backpack, person, person",sad,white,woman,34,25-34 years,The text in the image reads:  - immigrants - illegal aliens
2764,"person, tie, person, book",sad,black,man,30,25-34 years,"The text in the image is:  - ""closing time"" - ""one last call for green cards"" - ""you don't have to go home"" - ""but you can't stay here"""
2768,person,,,,,,when you look in your neighbor's yard and see an illegal immigrant  mowing their lawn
2769,"person, pizza, dining table",,,,,,"think we just discovered ""cop crack""  bacon wrapped donuts  mother of god"
2783,"person, person, person, horse, person",,,,,,a picture of my great great great grand grandfather's's tractors  they don't make them like they used to
2789,"person, cell phone, person, person, tie, cell phone, person",,,,,,when you got a warrant out for your arrest & you on the run......
2793,"person, boat, boat, boat, boat, person, boat, person, boat, person, boat",,,,,,sea monkeys
2795,"person, person, person, person, person, person, chair, chair, chair, dining table, dining table, chair, dining table, dining table, dining table",happy,white,man,31,25-34 years,The text in the image reads:  - police academy - graduation ceremony
2814,"person, person, person, person, person, person",fear,white,woman,45,45-54 years,want to party? yeah I'm down
2815,"orange, orange",,,,,,how do i like my eggs? same as i like my niggers beaten and separated from the whites
2816,person,surprise,asian,woman,34,25-34 years,help  im downing
2831,"person, person, person, person, boat, boat, person, person",,,,,,where's jaws when you need him?
2841,"tie, person, person, person",neutral,white,man,39,35-44 years,birthday  because i don't care if it's happy.
2845,bird,,,,,,they have sex with goats wipe their asses with their hands and drink camel piss  but i'm the unclean one!
2846,,,,,,,the before image that not many people have seen
2849,"person, tie, knife",,,,,,abba ree i can fryyy
2853,person,neutral,middle eastern,man,29,25-34 years,"The text in the image is:  - ""but islam can radicalize muslims"" - ""muslims are not terrorist"" - ""quran 8:39"" - ""kill all non believers till the only religion is islam"""
2854,person,happy,middle eastern,man,34,25-34 years,"The text in the image says:  ""do gay midgets come out of the cabinet?"""
2857,person,,,,,,"I love it when women go to school. It's like seeing a monkey on roller skates. It means nothing to them, but it's so adorable for us"
2863,"person, tie, person, person, person",happy,black,man,27,25-34 years,white men are the biggest terror threat  except for my white boyfriend
2867,person,neutral,white,man,29,25-34 years,russia #freesentsov #freekolchenko
2876,"person, cup, cup",,,,,,your milkshake brings all the tards to the yard
2891,person,happy,middle eastern,woman,30,25-34 years,"The text in the image is:  - ""look!"" - ""a blow up doll!"""
2894,person,neutral,white,man,36,35-44 years,"how high are you  no officer, its ""hi, how are you""?"
2914,"person, person",,,,,,the only thing that hinders you is your own motivation
2917,"person, person, person, person",,,,,,"The text in the image reads:  ""islamaphobe no i just hate the motherfuckers"""
2918,"person, person, person, person, person, person, person, person",neutral,middle eastern,man,32,25-34 years,a islamic leader among his followers
2935,"tie, person",surprise,asian,man,28,25-34 years,copsuckers be like  the whole boot daddy
2943,"person, person",,,,,,hide and go seek champion july 6 1942 - august 4 1944
2945,"person, person",,,,,,you've been hungerstruck!
2946,person,happy,white,woman,25,25-34 years,"The text in the image says:  ""is your girlfriend hot like me?"""
2947,"sheep, sheep, sheep, person, person, person, person, sheep, sheep, sheep",happy,middle eastern,man,35,35-44 years,meanwhile  at the isis strip club
2951,person,,,,,,protesters throwing smoke bombs
2956,"bed, person",,,,,,how i sleep  knowing i'm going to hell in every religion
2958,person,neutral,white,man,32,25-34 years,when you forget that your blind friend has a heightened sense of smell bro. chop a fuckin line up  for me
2965,person,neutral,white,man,25,25-34 years,i once dumped a cross eyed chick thought she was seeing someone else
2967,"tie, tie, person, tie, person, person, person, person, person, person, person, person, person, person, person",fear,white,man,35,35-44 years,when the black kids start fighting at school
2971,"person, sports ball, person, person, person, person, person, person, person, person, person, person, person, person",,,,,,what do you get when you cross harvey price with a pritt stick? a sticky black spastic
2973,dog,,,,,,how long can i run? till the chain tightens
2974,,,,,,,"it might look fucked up, but her handjobs are fucking unbelievable"
2975,"bowl, sandwich, sandwich",,,,,,you never realize how little self control you actually have until chips and salsa are in front of you at the mexican restaurant
2983,person,happy,white,man,37,35-44 years,large big mac no onions
2984,"person, person",neutral,black,woman,31,25-34 years,stop racism  black children and white children are the same
2987,"person, tie, person, person, person, person, person, person, person, person, person, person, person",happy,white,man,40,35-44 years,The text in the image is:  - not my president - not my residents
3124,"cell phone, person",sad,white,man,27,25-34 years,muhammed fixing his calculator
3128,person,angry,black,man,36,35-44 years,lazy day nothing to steal
3145,,,,,,,when each letter is a mental disorder
3146,"person, person, person, person",fear,white,man,31,25-34 years,this is inhuman the operation takes only a couple of seconds to perform but its image remains for years
3148,person,,,,,,fact: ethiopian food is so rare that locals don't even eat it  ethiopian food
3162,"person, cup, cell phone, vase, chair, dining table, chair",happy,white,man,31,25-34 years,recruiter added me on linkedin  so i guess things are getting pretty serious
3164,"person, person, potted plant, cell phone",,,,,,party tonight? i'm down
3172,umbrella,,,,,,im white trash and im in trouble
3178,person,happy,white,woman,24,18-24 years,"""we fly planes into their buildings now they kiss our asses!"""
3185,"person, bowl",,,,,,best thing about an ethiopian blowjob? you know she's going to swallow
3186,"person, person, person",fear,white,man,37,35-44 years,removes polish with chemicals  nobody bats an eye  commits crimes against the polish  starts WW2
3187,"person, bottle",sad,white,man,36,35-44 years,every dad: *shaves beard* his own baby: I've never met this man in my life.
3189,"person, clock",,,,,,"if a man wants you, he will come and get you."
3197,"bird, bird, bird, bird",,,,,,i'm no bird expert but i'm guessing it's 4 females and 1 male
3214,person,sad,white,man,43,35-44 years,The text in the image is:  bartender: how about a nice 12 yr old? him: boy or girl?
3217,,,,,,,"they are like sperm you get millions, but only one works"
3241,"person, person",neutral,black,man,24,18-24 years,The text in the image reads:  - When black people make white jokes - When white people make black jokes
3246,"person, tie",happy,white,man,35,35-44 years,mobile nun
3248,"person, person, tie, person, person, person, toothbrush, spoon, tie",neutral,white,man,27,25-34 years,when you just can't stop thinking about obama
3251,person,sad,white,man,25,25-34 years,"The text in the image says:  ""it is disgusting to laugh at gender dysphoria"""
3254,"tie, person",,,,,,"liberals: ""japan has gun control without issues, what makes you think it can't work here in the usa?"" me: (whispering) black people"
3256,"person, tie, person",angry,white,man,25,25-34 years,when you ask for advice and they tell you to just be yourself  you want me to get naked and start the revolution?
3257,person,,,,,,white trash not marriage material
3258,"person, person",,,,,,"i heard we can get free steroids in australia  please help feed and house this poor, defenceceless refugee.  don't be racist and let me in!"
3267,person,,,,,,that feeling when you finish your homework in record time and have extra time to chill
3268,"person, person, horse",,,,,,hey mom  the goats asshole is inside out. what do?
3271,person,,,,,,when your wife and girlfriend don't get along
3275,person,,,,,,the only time you can hang out with 2 dirty hookers and a tranny
3276,cat,,,,,,unless life also gives you water and sugar  your lemonade is gonna suck
3279,"person, scissors, dining table",sad,middle eastern,man,39,35-44 years,aren't you tried of my jokes!
3281,giraffe,,,,,,the weekend be like
3285,person,happy,latino hispanic,man,33,25-34 years,i wanna see the most fucked up meme. lets see what you got
3289,"person, person, person",,,,,,fuck banks  fuck indians too
3291,person,happy,white,woman,41,35-44 years,do you agree with pauline to stop islamic immigration to australia  share if you agree
3296,"person, person, person, person, person, person",sad,white,woman,31,25-34 years,come on over I'm having a party the place is crawling with pussy
3298,"tv, person, couch, bed",neutral,white,man,38,35-44 years,thanks for visiting
3418,"person, person",,,,,,i got a flat on my way to the store
3421,"person, baseball glove",,,,,,"when you shoot up the school and somebody else gets blamed for it  we stand here amid my achievement, not yours!"
3429,,,,,,,throwback thursday we was all by ourselves at one time  we was the only once's in the new phase to build and close
3468,"person, dog, sink",,,,,,"my dishwasher is acting strange, can anybody help"
3472,"person, bed",,,,,,"pet niguana for sale! come with food dish, a few toys, and a screen lid so it can't get out $300 obo"
3479,"person, potted plant",,,,,,just waterin' the dirt
3482,"person, car, truck",sad,white,man,34,25-34 years,i try not to be bias
3495,"tie, person",,,,,,"when your homie throws a  heart react on your status  just fucking kiss me, man."
3519,"cow, cow",,,,,,i'm going home i'm russian
3524,"person, person, person, person, person, person, person, person, person, person, person, person",sad,latino hispanic,man,36,35-44 years,terrorist can come to this country way to easy
3528,dog,fear,white,man,34,25-34 years,look at the bright side you are only half black now
3547,"person, person, person, car, person, tie, person, tie, person, tie",,,,,,people with dwarfism arguing
3567,person,happy,latino hispanic,man,27,25-34 years,potato is my favorite color of the alphabet
3568,"person, person, tie, tie",happy,asian,man,39,35-44 years,time to play rich VS the constitution
3574,"cow, dog",,,,,,pull up your pants and back away from the goat!!
3591,person,surprise,white,woman,28,25-34 years,"joins the democrat party to indulge in deep seated supremacist proclivities.  ""helping"" minorities also loves black cock"
3615,person,,,,,,joke time 3 muslims walk into a bar..
3624,person,sad,middle eastern,man,39,35-44 years,just a traditional muslim man with a beard
3629,dog,,,,,,hey man you gotta go home my parents are fighting again
3642,"person, person, sheep, horse, car, person, person, bicycle",,,,,,when you catch your goat with another man
3659,person,,,,,,"""I hope the electoral college gets beat in the NCAA tournament"""
3675,"person, vase",,,,,,because of trump i got fired from my job
3678,person,,,,,,lock her up and throw away the key
3681,"person, tie",,,,,,when you're muslim  but you have oil
3685,"person, person, person, backpack, backpack, backpack",,,,,,not all angels reside in heaven..  many walk the battlefield..
3691,"person, person, person, person, book, person, person, person, person, chair, person, person, laptop, keyboard, chair",,,,,,"The text in the image reads:  ""koran class with the rohingya people"""
3715,,,,,,,great at making martinis terrible at stealing tambourines
3718,"sheep, person, sheep, sheep, sheep, sheep, sheep",happy,middle eastern,man,42,35-44 years,baaaa-utiful
3728,person,,,,,,"stalin: if you invade us, you break our agreement hitler: A LAST APPEAL TO REASON BY ADOLF HITLER Speech before the Reichstag, 19 July, 1940 World War II: Europe's Tragic quicksaving..."
3745,"person, mouse, laptop, cup, person, cup",happy,white,woman,26,25-34 years,your order comes to $37.50  and your white privilege discount brings the total to $37.50
3751,"person, remote, person, tv, potted plant",,,,,,"The text in the image is:  ""I yelled catch! I swear I thought she was ready"""
3756,"banana, backpack, person, person",,,,,,white people have no right to live in africa... but it's a blackman's right to live in any european country he chooses?
