id,detected_objects,Dominant Emotion,Dominant Race,gender,age,age_group,text,sentiment_analysis
2356,"person, person, person, person, baseball glove",,,,,,if i was arrested what do u think i got arrested 4?,bad
2358,person,happy,white,woman,31,25-34 years,The text in the image reads:  - diary of a - wimpy kid - hard luck - anne frank is one wimpy kid,bad
2364,"person, book",,,,,,"a jewih shop owner, wears a kippah or yarmulke whilst in his shop in tehran",bad
2365,person,,,,,,"quick, which one is a bb gun?  oops, too late... you're dead",good
2367,"person, person, person, person, traffic light, horse, traffic light, person, truck, cow, cow, person, person, person, cow, person, traffic light, traffic light, horse, traffic light, cow, traffic light, traffic light, person, cow, traffic light, traffic light",,,,,,dodge owners be like don't take a picture,neutral
2371,"person, cell phone, person",,,,,,why do all the mexican foos who work at t-mobile look like this  Imaooo,bad
2374,"tie, person, cup",neutral,black,man,32,25-34 years,"i don't always fuck midgets but when i do, i go balls deep",good
2381,person,,,,,,"got braces  friend told me ""you're so black, even your teeth are behind bars""",neutral
2384,"car, person, person, handbag, person, person, person, car, motorcycle",,,,,,caitlin jenner showinging off her new whip,bad
2385,"person, motorcycle, person, person, person, person, person, car, motorcycle, motorcycle, car, person, person, bicycle, car, car, motorcycle, horse, person, motorcycle, car, motorcycle",neutral,black,man,33,25-34 years,every life is precious,bad
2389,"person, person, person",,,,,,democrat jan schakowsky defends ilhan omar:'she comes from a different culture'  where they want to kill all the jews,bad
2413,person,neutral,white,woman,28,25-34 years,"The text in the image reads:  ""women ask for equal rights, and this is why""",bad
2416,"person, person, person, handbag, tie",happy,middle eastern,man,26,25-34 years,how do you piss off a female archeologist?  give her a used tampon and ask her what period it comes from.,neutral
2431,"person, potted plant, cell phone, person, oven, knife, orange, banana, cup",,,,,,subway is similar to prostitution  you pay someone else to do your wife's job,bad
2435,"person, bench, person",,,,,,when you type  fidget spinner but it autocorrects  to midget spinner.,bad
2439,"car, car, car, car, person, motorcycle, bicycle, train",fear,white,man,22,18-24 years,"superman's flying class was popular, but no one ever passed",bad
2456,"person, person",,,,,,"people are loosing their minds over terrorism and isis in america...  and veterans are all like... ""wake me up when i can go fuck shit up and not go to jail for it""",good
2457,"person, person, person, person, person, person, person, person, person, person",,,,,,i hate when i see a black out in my neighborhood but i still offer my neighbors a candle,neutral
2459,"person, bottle, fire hydrant, bottle, bottle, bowl",,,,,,"my dishwasher is acting strange, can anybody help?",bad
2461,"person, tie",happy,white,man,33,25-34 years,"whenever you feel stupid, remember this",bad
2467,chair,,,,,,how much did the holo cost,bad
2471,"person, chair, chair, chair, banana, chair, dog, chair, chair, chair",,,,,,when you walk into the welfare office  hello monkeys,bad
2475,"dog, person, chair, person, chair, person, person, person, cell phone, handbag",,,,,,therapy dogs are now being trained to console rape victims of muslims,bad
2476,person,,,,,,"The text in the image says:  ""im never doing a garden again!""",neutral
2478,"person, tie, person",,,,,,must.. resist... urge to.. kill whitey..,bad
2481,dog,,,,,,"The text in the image is:  - ""greetings tranny"" - ""time to die""",bad
2483,boat,,,,,,group of people rescued from medditaranian sea by italian coast guard,bad
2485,"person, person",sad,white,man,33,25-34 years,real friendship is sending them a link to something terrible so you can both be traumatised at the same time  i torture all my friends. it's how i show love.,good
2497,person,,,,,,you're a wizard motherfucker,bad
2514,"chair, potted plant, chair, microwave, chair, couch, oven, microwave, chair, dining table, vase, potted plant, chair, dining table, cup",angry,white,man,37,35-44 years,"if they're in a relationship, who makes the sandwiches?",bad
2518,"person, dog",,,,,,when the dog bites you and you bite back to assert dominance,bad
2519,person,neutral,asian,man,39,35-44 years,It's funny because he's fat!,bad
2536,"car, bench, potted plant, person",,,,,,don't drink and drive,bad
2537,"person, person, person, person, tie, person, person, person, boat, person, person, person, person, person, person",,,,,,arrest george soros  for crimes against  erope,bad
2538,"bird, bird",,,,,,when my girl pissed me off but she runs through the room in her draws  me my dick,neutral
2543,"person, person",neutral,asian,woman,30,25-34 years,catch me outside how bout dat  i'll catch my damn self outside,neutral
2548,bird,,,,,,oi  are you looking at me?,bad
2561,person,neutral,asian,man,24,18-24 years,"we are coming to america one way or another! we will rape, pillage, riot & reap havoc on your nation while stealing your welfare",bad
2568,person,,,,,,whatsthe difference between heroin and i? cops think twice before shooting heroin,bad
2571,"person, person, person",happy,black,woman,34,25-34 years,former first lady during an interview,bad
2576,bird,,,,,,this is a snakes mouth it all makes fucking sense now,good
2581,"person, cell phone",sad,white,woman,27,25-34 years,mussie guy tried to rape me he didn't make it to court,neutral
2584,bench,,,,,,imagine being so disgusting there have to be laws to try to stop normal people from hating you,good
2594,"sheep, laptop, cow",,,,,,"The text in the image is:  - ""jamal!"" - ""im pregnant!!!""  These texts are displayed in different fonts and colors.",bad
2613,"person, couch, person",,,,,,The text in the image says:  - after group sex - mohammed is very tired,bad
2614,"person, person, person, cell phone, person",,,,,,black boyfriend white boyfriend,bad
2631,person,angry,white,man,28,25-34 years,when your grandma sees you for the first time in a whole week  he's so fucking big.  me#irl,neutral
2634,person,,,,,,and just like that... this sandwich maker doubles as an ironing board,good
2647,"person, tie, person, person, person, person, person, tie, person",,,,,,notice how the kenyan skidmark  has been silent about the mueller report?,bad
2649,person,,,,,,and that was the last nativity play my son was invited to take part in,bad
2653,"boat, clock, clock",,,,,,england  where moslems can rape your children and reporting it is a crime,bad
2654,person,,,,,,when people are spreading rumors but you're unbothereded,bad
2657,"person, person, tennis racket, person",,,,,,oh look someone's returninging a broken sandwich maker to walmart,bad
2674,"person, car, chair, skateboard, motorcycle, car",happy,asian,man,26,25-34 years,"The text in the image is:  - ""asian drivers test"" - ""went as expected""",good
2687,,,,,,,i hang a sock on my doorknob so my roommate knows not to come in because i'm busy fucking the other sock,bad
2691,person,neutral,indian,man,24,18-24 years,teaching them how to hunt young,neutral
2716,person,,,,,,"felt cute might pray later, idk",bad
2718,"person, cell phone",,,,,,my kid threatened to hold his breath until I gave him dessert. He's now passed out on the kitchen floor  I don't negotiate with terrorists,bad
2719,bear,,,,,,your black neighbor  after you called the cops,bad
2735,keyboard,,,,,,when each letter is a mental disorder,bad
2751,,,,,,,just admit it white america was better,bad
2761,person,,,,,,i'm sorry  i didn't mean to hurt your feelings,bad
2763,"person, person, person, person, person, person, person, person, person, person, backpack, person, person, backpack, backpack, person, person, person, person, person, backpack, person, person",sad,white,woman,34,25-34 years,The text in the image reads:  - immigrants - illegal aliens,bad
2764,"person, tie, person, book",sad,black,man,30,25-34 years,"The text in the image is:  - ""closing time"" - ""one last call for green cards"" - ""you don't have to go home"" - ""but you can't stay here""",bad
2768,person,,,,,,when you look in your neighbor's yard and see an illegal immigrant  mowing their lawn,bad
2769,"person, pizza, dining table",,,,,,"think we just discovered ""cop crack""  bacon wrapped donuts  mother of god",bad
2783,"person, person, person, horse, person",,,,,,a picture of my great great great grand grandfather's's tractors  they don't make them like they used to,good
2789,"person, cell phone, person, person, tie, cell phone, person",,,,,,when you got a warrant out for your arrest & you on the run......,bad
2793,"person, boat, boat, boat, boat, person, boat, person, boat, person, boat",,,,,,sea monkeys,bad
2795,"person, person, person, person, person, person, chair, chair, chair, dining table, dining table, chair, dining table, dining table, dining table",happy,white,man,31,25-34 years,The text in the image reads:  - police academy - graduation ceremony,bad
2814,"person, person, person, person, person, person",fear,white,woman,45,45-54 years,want to party? yeah I'm down,bad
2815,"orange, orange",,,,,,how do i like my eggs? same as i like my niggers beaten and separated from the whites,bad
2816,person,surprise,asian,woman,34,25-34 years,help  im downing,bad
2831,"person, person, person, person, boat, boat, person, person",,,,,,where's jaws when you need him?,bad
2841,"tie, person, person, person",neutral,white,man,39,35-44 years,birthday  because i don't care if it's happy.,bad
2845,bird,,,,,,they have sex with goats wipe their asses with their hands and drink camel piss  but i'm the unclean one!,bad
2846,,,,,,,the before image that not many people have seen,neutral
2849,"person, tie, knife",,,,,,abba ree i can fryyy,bad
2853,person,neutral,middle eastern,man,29,25-34 years,"The text in the image is:  - ""but islam can radicalize muslims"" - ""muslims are not terrorist"" - ""quran 8:39"" - ""kill all non believers till the only religion is islam""",bad
2854,person,happy,middle eastern,man,34,25-34 years,"The text in the image says:  ""do gay midgets come out of the cabinet?""",bad
2857,person,,,,,,"I love it when women go to school. It's like seeing a monkey on roller skates. It means nothing to them, but it's so adorable for us",good
2863,"person, tie, person, person, person",happy,black,man,27,25-34 years,white men are the biggest terror threat  except for my white boyfriend,bad
2867,person,neutral,white,man,29,25-34 years,russia #freesentsov #freekolchenko,bad
2876,"person, cup, cup",,,,,,your milkshake brings all the tards to the yard,bad
2891,person,happy,middle eastern,woman,30,25-34 years,"The text in the image is:  - ""look!"" - ""a blow up doll!""",bad
2894,person,neutral,white,man,36,35-44 years,"how high are you  no officer, its ""hi, how are you""?",neutral
2914,"person, person",,,,,,the only thing that hinders you is your own motivation,bad
2917,"person, person, person, person",,,,,,"The text in the image reads:  ""islamaphobe no i just hate the motherfuckers""",bad
2918,"person, person, person, person, person, person, person, person",neutral,middle eastern,man,32,25-34 years,a islamic leader among his followers,bad
2935,"tie, person",surprise,asian,man,28,25-34 years,copsuckers be like  the whole boot daddy,neutral
2943,"person, person",,,,,,hide and go seek champion july 6 1942 - august 4 1944,bad
2945,"person, person",,,,,,you've been hungerstruck!,neutral
2946,person,happy,white,woman,25,25-34 years,"The text in the image says:  ""is your girlfriend hot like me?""",bad
2947,"sheep, sheep, sheep, person, person, person, person, sheep, sheep, sheep",happy,middle eastern,man,35,35-44 years,meanwhile  at the isis strip club,bad
2951,person,,,,,,protesters throwing smoke bombs,bad
2956,"bed, person",,,,,,how i sleep  knowing i'm going to hell in every religion,neutral
2958,person,neutral,white,man,32,25-34 years,when you forget that your blind friend has a heightened sense of smell bro. chop a fuckin line up  for me,neutral
2965,person,neutral,white,man,25,25-34 years,i once dumped a cross eyed chick thought she was seeing someone else,bad
2967,"tie, tie, person, tie, person, person, person, person, person, person, person, person, person, person, person",fear,white,man,35,35-44 years,when the black kids start fighting at school,bad
2971,"person, sports ball, person, person, person, person, person, person, person, person, person, person, person, person",,,,,,what do you get when you cross harvey price with a pritt stick? a sticky black spastic,bad
2973,dog,,,,,,how long can i run? till the chain tightens,bad
2974,,,,,,,"it might look fucked up, but her handjobs are fucking unbelievable",good
2975,"bowl, sandwich, sandwich",,,,,,you never realize how little self control you actually have until chips and salsa are in front of you at the mexican restaurant,bad
2983,person,happy,white,man,37,35-44 years,large big mac no onions,bad
2984,"person, person",neutral,black,woman,31,25-34 years,stop racism  black children and white children are the same,bad
2987,"person, tie, person, person, person, person, person, person, person, person, person, person, person",happy,white,man,40,35-44 years,The text in the image is:  - not my president - not my residents,neutral
3124,"cell phone, person",sad,white,man,27,25-34 years,muhammed fixing his calculator,bad
3128,person,angry,black,man,36,35-44 years,lazy day nothing to steal,bad
3145,,,,,,,when each letter is a mental disorder,bad
3146,"person, person, person, person",fear,white,man,31,25-34 years,this is inhuman the operation takes only a couple of seconds to perform but its image remains for years,bad
3148,person,,,,,,fact: ethiopian food is so rare that locals don't even eat it  ethiopian food,bad
3162,"person, cup, cell phone, vase, chair, dining table, chair",happy,white,man,31,25-34 years,recruiter added me on linkedin  so i guess things are getting pretty serious,neutral
3164,"person, person, potted plant, cell phone",,,,,,party tonight? i'm down,bad
3172,umbrella,,,,,,im white trash and im in trouble,bad
3178,person,happy,white,woman,24,18-24 years,"""we fly planes into their buildings now they kiss our asses!""",bad
3185,"person, bowl",,,,,,best thing about an ethiopian blowjob? you know she's going to swallow,bad
3186,"person, person, person",fear,white,man,37,35-44 years,removes polish with chemicals  nobody bats an eye  commits crimes against the polish  starts WW2,neutral
3187,"person, bottle",sad,white,man,36,35-44 years,every dad: *shaves beard* his own baby: I've never met this man in my life.,bad
3189,"person, clock",,,,,,"if a man wants you, he will come and get you.",neutral
3197,"bird, bird, bird, bird",,,,,,i'm no bird expert but i'm guessing it's 4 females and 1 male,good
3214,person,sad,white,man,43,35-44 years,The text in the image is:  bartender: how about a nice 12 yr old? him: boy or girl?,bad
3217,,,,,,,"they are like sperm you get millions, but only one works",bad
3241,"person, person",neutral,black,man,24,18-24 years,The text in the image reads:  - When black people make white jokes - When white people make black jokes,neutral
3246,"person, tie",happy,white,man,35,35-44 years,mobile nun,bad
3248,"person, person, tie, person, person, person, toothbrush, spoon, tie",neutral,white,man,27,25-34 years,when you just can't stop thinking about obama,bad
3251,person,sad,white,man,25,25-34 years,"The text in the image says:  ""it is disgusting to laugh at gender dysphoria""",bad
3254,"tie, person",,,,,,"liberals: ""japan has gun control without issues, what makes you think it can't work here in the usa?"" me: (whispering) black people",bad
3256,"person, tie, person",angry,white,man,25,25-34 years,when you ask for advice and they tell you to just be yourself  you want me to get naked and start the revolution?,neutral
3257,person,,,,,,white trash not marriage material,bad
3258,"person, person",,,,,,"i heard we can get free steroids in australia  please help feed and house this poor, defenceceless refugee.  don't be racist and let me in!",neutral
3267,person,,,,,,that feeling when you finish your homework in record time and have extra time to chill,neutral
3268,"person, person, horse",,,,,,hey mom  the goats asshole is inside out. what do?,bad
3271,person,,,,,,when your wife and girlfriend don't get along,bad
3275,person,,,,,,the only time you can hang out with 2 dirty hookers and a tranny,bad
3276,cat,,,,,,unless life also gives you water and sugar  your lemonade is gonna suck,bad
3279,"person, scissors, dining table",sad,middle eastern,man,39,35-44 years,aren't you tried of my jokes!,bad
3281,giraffe,,,,,,the weekend be like,bad
3285,person,happy,latino hispanic,man,33,25-34 years,i wanna see the most fucked up meme. lets see what you got,bad
3289,"person, person, person",,,,,,fuck banks  fuck indians too,bad
3291,person,happy,white,woman,41,35-44 years,do you agree with pauline to stop islamic immigration to australia  share if you agree,bad
3296,"person, person, person, person, person, person",sad,white,woman,31,25-34 years,come on over I'm having a party the place is crawling with pussy,good
3298,"tv, person, couch, bed",neutral,white,man,38,35-44 years,thanks for visiting,neutral
3418,"person, person",,,,,,i got a flat on my way to the store,bad
3421,"person, baseball glove",,,,,,"when you shoot up the school and somebody else gets blamed for it  we stand here amid my achievement, not yours!",bad
3429,,,,,,,throwback thursday we was all by ourselves at one time  we was the only once's in the new phase to build and close,bad
3468,"person, dog, sink",,,,,,"my dishwasher is acting strange, can anybody help",bad
3472,"person, bed",,,,,,"pet niguana for sale! come with food dish, a few toys, and a screen lid so it can't get out $300 obo",good
3479,"person, potted plant",,,,,,just waterin' the dirt,bad
3482,"person, car, truck",sad,white,man,34,25-34 years,i try not to be bias,good
3495,"tie, person",,,,,,"when your homie throws a  heart react on your status  just fucking kiss me, man.",good
3519,"cow, cow",,,,,,i'm going home i'm russian,bad
3524,"person, person, person, person, person, person, person, person, person, person, person, person",sad,latino hispanic,man,36,35-44 years,terrorist can come to this country way to easy,neutral
3528,dog,fear,white,man,34,25-34 years,look at the bright side you are only half black now,good
3547,"person, person, person, car, person, tie, person, tie, person, tie",,,,,,people with dwarfism arguing,bad
3567,person,happy,latino hispanic,man,27,25-34 years,potato is my favorite color of the alphabet,bad
